mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Alta Floresta D'Oeste,110001,RO,"66,8%","17,2%","49,7%","45,5%","3,1%","106,8%","4,8%","0,10","9,35","2,08","0,65","38,4%","0,0%","0,0%","0,0%","0,0%","43,9%",,"100,0%","92,9%","113,4%","0,08","10,2%","32,9%","13,7%","13,8%",GH3,N
Ariquemes,110002,RO,"43,8%","16,4%","53,6%","37,1%","6,8%","72,7%","17,6%","0,20","4,02","2,35","1,39","35,4%","0,1%","0,0%","0,0%","0,0%","25,1%","0,50","80,0%","91,3%","97,5%","0,02","8,6%","25,9%","14,2%","21,0%",GH3,N
Cabixi,110003,RO,"95,1%","47,6%","44,9%","49,0%","4,4%","48,7%","3,0%","0,02","6,38","1,51","0,48","38,1%","0,0%","0,0%","0,0%","0,0%","47,7%",,"100,0%","57,1%","89,1%","0,35","10,2%","14,4%","15,2%","17,1%",GH5,N
Cacoal,110004,RO,"36,5%","30,2%","59,9%","33,4%","5,9%","61,4%","4,7%","0,11","5,26","3,96","1,05","35,8%","0,1%","0,0%","0,1%","0,0%","34,8%","2,00","90,9%","91,8%","96,7%","0,05","8,2%","30,4%","17,6%","21,1%",GH3,N
Cerejeiras,110005,RO,"70,5%","30,3%","59,0%","34,3%","2,9%","39,0%","3,4%","0,15","10,30","3,14","0,92","35,7%","0,0%","0,0%","0,0%","0,0%","52,2%","1,96","60,0%","100,0%","116,6%","0,00","12,6%","24,0%","17,8%","18,4%",GH5,N
Colorado do Oeste,110006,RO,"49,2%","8,5%","63,0%","30,4%","3,4%","51,2%","3,9%","0,07","9,22","2,00","1,20","35,1%","0,0%","0,0%","0,0%","0,0%","41,1%",,"57,1%","90,0%","87,2%","0,01","54,1%","28,8%","15,0%","15,1%",GH3,N
Corumbiara,110007,RO,"68,2%","39,8%","59,0%","35,9%","2,0%","39,6%","3,7%","0,07","4,39","1,17","0,65","34,8%","0,0%","0,0%","0,0%","0,0%","47,5%",,"100,0%","70,6%","112,3%","0,00","41,5%","29,2%","16,7%","14,5%",GH5,N
Costa Marques,110008,RO,"43,8%","21,9%","55,4%","34,2%","9,6%","56,5%","0,6%","0,07","3,38","0,88","0,53","36,3%","0,0%","0,0%","0,0%","0,0%","39,6%",,"90,0%","85,0%","106,7%","0,00","26,5%","40,7%","21,8%","15,9%",GH6,N
Espigão D'Oeste,110009,RO,"45,1%","3,5%","52,1%","40,0%","6,8%","89,6%","6,3%","0,05","5,09","1,45","0,72","35,7%","0,0%","0,0%","0,0%","0,0%","28,8%","1,26","100,0%","90,3%","25,1%","0,04","0,0%","25,4%","16,8%","15,6%",GH5,N
Guajará-Mirim,110010,RO,"57,3%","28,0%","1,4%","13,4%","84,2%","45,4%","2,0%","0,22","5,21","1,67","0,86","40,3%","0,0%","0,0%","0,0%","0,0%","50,4%",,"87,8%","96,6%","105,7%","0,00","47,8%","51,8%","15,4%","18,4%",GH4,N
Jaru,110011,RO,"61,6%","20,5%","38,3%","56,2%","3,7%","62,2%","9,1%","0,23","4,02","2,19","0,67","34,9%","0,0%","0,0%","0,0%","0,0%","40,2%",,"82,4%","86,6%","91,3%","0,03","99,3%","29,7%","15,8%","20,1%",GH3,N
Ji-Paraná,110012,RO,"42,2%","12,3%","41,8%","44,9%","9,1%","37,6%","6,0%","0,28","5,89","2,15","0,96","45,3%","0,0%","0,0%","0,1%","0,0%","28,6%",,"80,4%","89,4%","117,7%","1,20","11,9%","31,9%","17,5%","20,8%",GH3,N
Machadinho D'Oeste,110013,RO,"45,0%","1,6%","46,3%","41,4%","8,3%","65,0%","2,3%","0,10","5,39","1,26","0,48","32,6%","0,0%","0,0%","0,0%","0,0%","48,8%",,"75,0%","85,7%","94,0%","0,00","13,6%","38,7%","22,7%","15,7%",GH4,N
Nova Brasilândia D'Oeste,110014,RO,"67,0%","44,5%","36,0%","59,8%","4,1%","92,2%","1,7%","0,06","8,58","1,37","1,40","36,2%","0,0%","0,0%","0,0%","0,0%","50,4%",,"50,0%","96,2%","114,8%","0,00","6,2%","14,0%","15,9%","15,6%",GH6,N
Ouro Preto do Oeste,110015,RO,"74,6%","11,1%","61,7%","30,5%","4,8%","51,5%","0,9%","0,14","6,39","2,24","0,87","37,5%","0,0%","0,0%","0,0%","0,0%","52,5%",,"85,7%","94,0%","94,9%","0,28","99,4%","27,9%","13,0%","18,9%",GH4,N
Pimenta Bueno,110018,RO,"59,9%","59,3%","58,9%","35,8%","4,0%","63,4%","3,3%","0,10","8,39","2,21","0,70","36,4%","0,0%","0,0%","0,0%","0,0%","37,7%",,"100,0%","87,5%","89,6%","0,32","5,9%","19,2%","18,6%","14,6%",GH3,N
Porto Velho,110020,RO,"59,3%","45,2%","43,3%","34,3%","12,4%","49,1%","11,4%","1,15","3,32","6,14","1,66","46,3%","0,5%","0,6%","0,3%","0,1%","24,7%","0,29","65,2%","85,5%","112,9%","19,36","3,9%","43,2%","13,4%","24,3%",GH2,N
Presidente Médici,110025,RO,"104,0%","66,1%","50,2%","40,2%","7,2%","60,7%","1,7%","0,12","4,92","1,30","1,01","34,9%","0,0%","0,0%","0,0%","0,0%","47,3%",,"100,0%","65,0%","142,8%","5,22","4,1%","31,8%","16,6%","15,9%",GH4,N
Rio Crespo,110026,RO,"82,9%","82,9%","54,0%","33,3%","11,9%","60,2%","8,5%","0,14","1,68","1,19","2,44","38,7%","0,0%","0,0%","0,0%","0,0%","27,3%",,"100,0%","100,0%","102,1%","0,63","0,0%","33,2%","14,0%","15,8%",GH5,N
Rolim de Moura,110028,RO,"60,2%","24,9%","39,3%","56,5%","3,0%","95,2%","4,3%","0,19","8,71","2,04","0,86","38,1%","0,0%","0,0%","0,0%","0,0%","47,3%",,"100,0%","88,1%","104,8%","0,00","17,8%","13,0%","13,2%","17,6%",GH3,N
Santa Luzia D'Oeste,110029,RO,"107,8%","67,5%","44,1%","50,7%","3,2%","99,5%","5,9%","0,05","7,30","1,16","0,36","35,7%","0,0%","0,0%","0,0%","0,0%","34,5%",,"100,0%","100,0%","93,0%","1,90","0,0%","15,2%","15,7%","16,5%",GH5,N
Vilhena,110030,RO,"42,7%","11,5%","87,4%","8,6%","1,8%","46,7%","12,7%","0,08","5,85","3,81","0,72","36,8%","0,1%","0,3%","0,1%","0,0%","33,9%",,"79,2%","92,1%","96,6%","0,60","5,1%","21,5%","16,0%","23,2%",GH3,N
São Miguel do Guaporé,110032,RO,"46,2%","38,9%","54,2%","42,5%","2,7%","77,2%","1,2%","0,07","7,40","2,02","0,44","37,4%","0,0%","0,0%","0,0%","0,0%","31,1%",,"57,1%","94,7%","104,5%","0,47","14,7%","23,7%","16,3%","15,2%",GH5,N
Nova Mamoré,110033,RO,"32,0%","15,9%","26,4%","41,5%","27,6%","47,4%","1,2%","0,11","4,21","1,97","1,02","32,1%","0,0%","0,0%","0,0%","0,0%","50,9%",,"61,5%","85,5%","98,7%","0,00","100,0%","41,8%","14,5%","15,3%",GH6,N
