,ID_MUNICIP,Idade,Casos,CO_MUN_NOT
0,ABADIA DOS DOURADOS,"(0, 5]",0.0,310010.0
1,ABADIA DOS DOURADOS,"(5, 10]",0.0,310010.0
2,ABADIA DOS DOURADOS,"(10, 15]",0.0,310010.0
3,ABADIA DOS DOURADOS,"(15, 20]",0.0,310010.0
4,ABADIA DOS DOURADOS,"(20, 25]",0.0,310010.0
5,ABADIA DOS DOURADOS,"(25, 30]",0.0,310010.0
6,ABADIA DOS DOURADOS,"(30, 35]",0.0,310010.0
7,ABADIA DOS DOURADOS,"(35, 40]",0.0,310010.0
8,ABADIA DOS DOURADOS,"(40, 45]",0.0,310010.0
9,ABADIA DOS DOURADOS,"(45, 50]",0.0,310010.0
10,ABADIA DOS DOURADOS,"(50, 55]",0.0,310010.0
11,ABADIA DOS DOURADOS,"(55, 60]",1.0,310010.0
12,ABADIA DOS DOURADOS,"(60, 65]",0.0,310010.0
13,ABADIA DOS DOURADOS,"(65, 70]",0.0,310010.0
14,ABADIA DOS DOURADOS,"(70, 75]",0.0,310010.0
15,ABADIA DOS DOURADOS,"(75, 80]",0.0,310010.0
16,ABADIA DOS DOURADOS,"(80, 99]",0.0,310010.0
17,ABAETETUBA,"(0, 5]",0.0,150010.0
18,ABAETETUBA,"(5, 10]",0.0,150010.0
19,ABAETETUBA,"(10, 15]",0.0,150010.0
20,ABAETETUBA,"(15, 20]",0.0,150010.0
21,ABAETETUBA,"(20, 25]",2.0,150010.0
22,ABAETETUBA,"(25, 30]",1.0,150010.0
23,ABAETETUBA,"(30, 35]",3.0,150010.0
24,ABAETETUBA,"(35, 40]",1.0,150010.0
25,ABAETETUBA,"(40, 45]",6.0,150010.0
26,ABAETETUBA,"(45, 50]",3.0,150010.0
27,ABAETETUBA,"(50, 55]",5.0,150010.0
28,ABAETETUBA,"(55, 60]",4.0,150010.0
29,ABAETETUBA,"(60, 65]",10.0,150010.0
30,ABAETETUBA,"(65, 70]",11.0,150010.0
31,ABAETETUBA,"(70, 75]",4.0,150010.0
32,ABAETETUBA,"(75, 80]",7.0,150010.0
33,ABAETETUBA,"(80, 99]",6.0,150010.0
34,ABAIARA,"(0, 5]",0.0,230010.0
35,ABAIARA,"(5, 10]",0.0,230010.0
36,ABAIARA,"(10, 15]",0.0,230010.0
37,ABAIARA,"(15, 20]",0.0,230010.0
38,ABAIARA,"(20, 25]",0.0,230010.0
39,ABAIARA,"(25, 30]",0.0,230010.0
40,ABAIARA,"(30, 35]",0.0,230010.0
41,ABAIARA,"(35, 40]",0.0,230010.0
42,ABAIARA,"(40, 45]",0.0,230010.0
43,ABAIARA,"(45, 50]",0.0,230010.0
44,ABAIARA,"(50, 55]",0.0,230010.0
45,ABAIARA,"(55, 60]",0.0,230010.0
46,ABAIARA,"(60, 65]",0.0,230010.0
47,ABAIARA,"(65, 70]",0.0,230010.0
48,ABAIARA,"(70, 75]",0.0,230010.0
49,ABAIARA,"(75, 80]",0.0,230010.0
50,ABAIARA,"(80, 99]",1.0,230010.0
51,ABREU E LIMA,"(0, 5]",0.0,260005.0
52,ABREU E LIMA,"(5, 10]",0.0,260005.0
53,ABREU E LIMA,"(10, 15]",0.0,260005.0
54,ABREU E LIMA,"(15, 20]",0.0,260005.0
55,ABREU E LIMA,"(20, 25]",0.0,260005.0
56,ABREU E LIMA,"(25, 30]",0.0,260005.0
57,ABREU E LIMA,"(30, 35]",0.0,260005.0
58,ABREU E LIMA,"(35, 40]",0.0,260005.0
59,ABREU E LIMA,"(40, 45]",0.0,260005.0
60,ABREU E LIMA,"(45, 50]",0.0,260005.0
61,ABREU E LIMA,"(50, 55]",0.0,260005.0
62,ABREU E LIMA,"(55, 60]",0.0,260005.0
63,ABREU E LIMA,"(60, 65]",0.0,260005.0
64,ABREU E LIMA,"(65, 70]",0.0,260005.0
65,ABREU E LIMA,"(70, 75]",0.0,260005.0
66,ABREU E LIMA,"(75, 80]",0.0,260005.0
67,ABREU E LIMA,"(80, 99]",1.0,260005.0
68,ACAILANDIA,"(0, 5]",0.0,210005.0
69,ACAILANDIA,"(5, 10]",0.0,210005.0
70,ACAILANDIA,"(10, 15]",0.0,210005.0
71,ACAILANDIA,"(15, 20]",0.0,210005.0
72,ACAILANDIA,"(20, 25]",0.0,210005.0
73,ACAILANDIA,"(25, 30]",0.0,210005.0
74,ACAILANDIA,"(30, 35]",0.0,210005.0
75,ACAILANDIA,"(35, 40]",1.0,210005.0
76,ACAILANDIA,"(40, 45]",2.0,210005.0
77,ACAILANDIA,"(45, 50]",2.0,210005.0
78,ACAILANDIA,"(50, 55]",0.0,210005.0
